id,max_abs_delta,min_signed,max_signed,signed_at_maxabs
ENSE00001734773_002,0.4281176481298641,-0.4281176481298641,-0.4281176481298641,-0.4281176481298641
ENSE00001734773_003,0.2764682660358898,-0.2764682660358898,-0.2764682660358898,-0.2764682660358898
ENSE00001734773_004,0.0864652104343275,-0.0864652104343275,-0.0864652104343275,-0.0864652104343275
ENSE00001734773_005,0.0779520120157392,0.0779520120157392,0.0779520120157392,0.0779520120157392
ENSE00001734773_007,1.4383929124315444,1.4383929124315444,1.4383929124315444,1.4383929124315444
ENSE00001734773_008,0.1796774166760195,-0.1796774166760195,-0.1796774166760195,-0.1796774166760195
ENSE00001734773_010,0.2965778241563977,-0.2965778241563977,-0.2965778241563977,-0.2965778241563977
ENSE00001734773_012,0.084362186595975,0.084362186595975,0.084362186595975,0.084362186595975
ENSE00001734773_015,0.1924817320309247,-0.1924817320309247,-0.1924817320309247,-0.1924817320309247
ENSE00001734773_016,0.4867236376698483,-0.4867236376698483,-0.4867236376698483,-0.4867236376698483
ENSE00001734773_018,0.1212847355542935,-0.1212847355542935,-0.1212847355542935,-0.1212847355542935
ENSE00001734773_019,0.0086856071077527,-0.0086856071077527,-0.0086856071077527,-0.0086856071077527
ENSE00001734773_020,0.1431003175006686,0.1431003175006686,0.1431003175006686,0.1431003175006686
ENSE00001734773_023,0.0268993109225474,0.0268993109225474,0.0268993109225474,0.0268993109225474
ENSE00001734773_024,0.6673905285467566,-0.6673905285467566,-0.6673905285467566,-0.6673905285467566
ENSE00001734773_025,0.8344859739599741,-0.8344859739599741,-0.8344859739599741,-0.8344859739599741
ENSE00001734773_026,0.2618410924549876,0.2618410924549876,0.2618410924549876,0.2618410924549876
ENSE00000721401_007,0.1610087617189206,-0.1610087617189206,-0.1610087617189206,-0.1610087617189206
ENSE00000721401_009,0.5193118618965732,0.5193118618965732,0.5193118618965732,0.5193118618965732
ENSE00000721401_011,0.0059996635717211,0.0059996635717211,0.0059996635717211,0.0059996635717211
ENSE00000721401_012,0.0406714549635876,-0.0406714549635876,-0.0406714549635876,-0.0406714549635876
ENSE00000721401_013,0.1517838139873706,0.1517838139873706,0.1517838139873706,0.1517838139873706
ENSE00000721401_014,0.216664210663575,-0.216664210663575,-0.216664210663575,-0.216664210663575
ENSE00000721401_015,0.0586437218861527,-0.0586437218861527,-0.0586437218861527,-0.0586437218861527
ENSE00000721401_017,0.0175947478186605,0.0175947478186605,0.0175947478186605,0.0175947478186605
