id,score
ENSE00000332835_007,0.0011913776397705
ENSE00000338771_013,0.0024790577590465
ENSE00000373145_003,0.0008574724197387
ENSE00000373145_013,0.0040232799947261
ENSE00000377990_003,0.0054721422493457
ENSE00000377990_015,0.0012488816864788
ENSE00000379229_005,0.0088025629520416
ENSE00000379234_001,0.0008041262626647
ENSE00000400053_011,0.0003335122019052
ENSE00000406138_007,0.003048300743103
ENSE00000406871_004,0.0733316540718078
ENSE00000406871_012,0.0188086330890655
ENSE00000406871_021,0.0163004957139492
ENSE00000411843_009,0.0011028004810214
ENSE00000411843_018,0.0003759586252272
ENSE00000411843_028,0.0056447277311235
ENSE00000412978_006,0.0032756645232439
ENSE00000430832_010,0.0126051604747772
ENSE00000434370_011,0.0033515095710754
ENSE00000436145_008,0.0072817206382751
ENSE00000502777_010,0.0082835997454822
ENSE00000521581_003,0.8757188562303782
ENSE00000525807_009,0.0008180103031918
ENSE00000535552_002,0.062066912651062
ENSE00000535552_012,0.0207480788230896
ENSE00000535552_023,0.500483974814415
ENSE00000542500_003,0.0146221797913312
ENSE00000542500_014,0.0029913205653429
ENSE00000542500_023,0.004342570900917
ENSE00000564470_009,0.0162138938903808
ENSE00000564470_018,0.0081730484962463
ENSE00000576053_005,0.0039016818627715
ENSE00000576053_017,0.0298581570386886
ENSE00000576053_026,0.003837913274765
ENSE00000583150_010,0.0117315649986267
ENSE00000648350_018,0.0388823151588439
ENSE00000650335_010,0.0215461626648902
ENSE00000650335_021,0.0044467151165008
ENSE00000650337_009,0.015766660682857
ENSE00000651221_004,0.0146274641156196
ENSE00000651221_015,0.0139883160591125
ENSE00000651221_028,0.0064045786857604
ENSE00000651893_008,0.0064947605133056
ENSE00000651893_017,0.0215083956718444
ENSE00000652099_011,0.0004222393035888
ENSE00000654359_004,0.0019571781158447
ENSE00000654359_013,0.1676208972930908
ENSE00000654726_004,0.0022750017233192
ENSE00000654726_012,0.005471084266901
ENSE00000654726_021,0.0272722207009792
ENSE00000654757_002,0.0069208068307489
ENSE00000654866_013,0.0172911883564665
ENSE00000655095_001,0.0036488585174083
ENSE00000655414_001,0.0015048631466925
ENSE00000655414_011,0.0086833229288458
ENSE00000655414_022,0.0014174613170325
ENSE00000657431_004,0.0063792020082473
ENSE00000657431_015,0.0007493123412132
ENSE00000658029_012,0.0002793073654174
ENSE00000658402_006,0.0416758507490158
ENSE00000658419_004,0.0005826950073242
ENSE00000658419_013,0.0003753282362595
ENSE00000658419_021,0.0003134608268737
ENSE00000658636_002,0.014592096209526
ENSE00000658636_012,0.0860963463783264
ENSE00000658639_024,0.0641064643859863
ENSE00000658753_027,0.0035475064069032
ENSE00000658850_008,0.005375862121582
ENSE00000658850_016,0.0043551921844482
ENSE00000659433_010,0.063054621219635
ENSE00000660106_002,0.0033132433891296
ENSE00000660106_010,0.0187432169914245
ENSE00000660106_019,0.0261292457580566
ENSE00000660106_028,0.0093862749636173
ENSE00000660167_009,0.0011453367769718
ENSE00000660167_018,0.0075656473636627
ENSE00000660516_007,0.0027376264333724
ENSE00000660516_016,0.0056462064385414
ENSE00000660516_025,0.0014256834983825
ENSE00000660516_034,0.000939667224884
ENSE00000660518_002,0.0009565195068717
ENSE00000660518_014,0.0008572535589337
ENSE00000660518_025,0.0003624542150646
ENSE00000660559_014,0.0007131602615118
ENSE00000660560_005,0.0087046986445784
ENSE00000661764_007,0.0021692588925361
ENSE00000661764_017,0.0007587112486362
ENSE00000661950_007,0.0031675619538873
ENSE00000661950_018,0.0047548413276672
ENSE00000661950_027,0.0035865902900695
ENSE00000662205_006,0.0337229371070861
